,id,title,city,postDate,updateDate,tags,commentCount,upRank,downRank,start_price
20,69923848,كهربائى مبانى,الشرقيه,2021-01-30 14:51:52,2021-01-30 14:51:52,"['Glove', 'Person', 'اوليمبوس Olympus', 'بلوزة', 'بنطال', 'حراج الأجهزة', 'حزام', 'خوذة']",0,0,0,0
21,69919537,راوتر 5G الجيل الخاميس,الرياض,2021-01-30 13:22:01,2021-01-30 13:22:01,"['Packaged goods', 'اوليمبوس Olympus', 'حراج الأجهزة']",1,0,0,0
22,69903805,بطريه قوي شبهوجديد,حفر الباطن,2021-01-30 01:22:00,2021-01-30 01:22:00,"['اوليمبوس Olympus', 'حراج الأجهزة']",4,0,0,0
23,69866524,ماوس وكيبورد,مكه,2021-01-29 10:08:06,2021-01-29 10:08:06,"['Luggage  bags', 'أجهزة منزلية', 'اوليمبوس Olympus', 'حراج الأجهزة', 'شنطة']",0,0,0,100
24,69861245,مكيف اسفلت,جده,2021-01-29 02:59:26,2021-01-29 02:59:26,"['اوليمبوس Olympus', 'حراج الأجهزة']",1,0,0,0
25,69853304,ثلاجه فرن براده مويه,الرياض,2021-01-28 22:11:08,2021-01-28 22:11:08,"['اوليمبوس Olympus', 'حراج الأجهزة']",2,0,0,0
26,69848473,هاك كونكر ببجي مبايل وداعا للباند,جده,2021-01-28 20:13:21,2021-01-28 20:13:21,"['Animal', 'اوليمبوس Olympus', 'حراج الأجهزة']",4,0,0,0
27,69792285,مكيف شباك جديد,جده,2021-01-27 18:13:59,2021-01-27 18:13:59,"['اوليمبوس Olympus', 'حراج الأجهزة']",5,0,0,700
28,69778253,جهاز عرض شاشة خارجية,الرياض,2021-01-27 13:41:05,2021-01-27 13:41:05,"['اوليمبوس Olympus', 'حراج الأجهزة']",1,0,0,250
29,69771681,كهربائى مبانى,الشرقيه,2021-01-27 11:12:43,2021-01-27 11:12:43,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,0
30,69706123,كاميرا 12 بيكسل للبيع على السوم,القصيم,2021-01-25 23:56:51,2021-01-29 04:29:14,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,0
31,69690242,كرسي لذوي الاحتياجات الخاصه,أبها,2021-01-25 18:30:38,2021-01-25 18:30:38,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,0
32,69671555,اله عود موسيقيه,الرياض,2021-01-25 12:10:04,2021-01-25 12:10:04,"['اوليمبوس Olympus', 'حراج الأجهزة', 'كل الحراج']",1,0,0,400
33,69661853,تلفون تراثي,الرياض,2021-01-25 05:33:49,2021-01-25 05:33:49,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,300
34,69649660,جهاز اوكسيجين ومقياس حراره,الرياض,2021-01-24 21:37:36,2021-01-24 21:37:36,"['ادوات طبخ', 'اوليمبوس Olympus', 'حراج الأجهزة']",2,0,0,0
35,69640074,مضخم لبيع,القصيم,2021-01-24 18:42:36,2021-01-24 18:42:36,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,0
36,69617913,اكسجين,أبها,2021-01-24 11:10:44,2021-01-24 11:10:44,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,0
37,69549424,حساب ببجي للبيع من السيزن 2,المدينة,2021-01-22 22:20:27,2021-01-22 22:20:27,"['اوليمبوس Olympus', 'حراج الأجهزة']",0,0,0,0
38,69547581,جهاز سير رياضي,مكه,2021-01-22 21:35:29,2021-01-22 21:35:29,"['اوليمبوس Olympus', 'حراج الأجهزة']",3,0,0,700
39,69935732,شاشة HITACHI نظيفه جدا,المدينة,2021-01-30 18:29:35,2021-01-30 18:29:35,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
